dataset,split,method,queries,recall_at_20,mrr_at_20
music-crs-2026,validation,hot,5000,0.008,0.0017930976617122124
music-crs-2026,validation,openrec_i2i_hot,5000,0.2282,0.06723362376529544
music-crs-2026,test,hot,5000,0.005,0.001058053221288515
music-crs-2026,test,openrec_i2i_hot,5000,0.1334,0.03628962650782311
