method,split,ndcg_at_1,ndcg_at_10,ndcg_at_20,catalog_diversity,lexical_diversity
Session + Entity + Context,official devset,0.04175,0.10931491348880246,0.12576434213423354,0.44847145801023985,0
Query embedding,official devset,0.061625,0.1447916906722993,0.1657708055638591,0.4832699538994285,0.0
Query + ItemCF,official devset,0.061125,0.14278558403409197,0.16472691848574794,0.4950394085530369,0.0
Query + Content-I2I,official devset,0.0665,0.15309783605347146,0.1742496142042506,0.5027086741305687,0.0
Query + UserCF,official devset,0.060625,0.14307887475239278,0.16442634979727463,0.4814429266427312,0.0
Query + Sequence embedding,official devset,0.06175,0.14470185214472497,0.16558207552048526,0.48303626436659514,0.0
Query + New,official devset,0.061625,0.14478621270344444,0.16573640531835926,0.4833549319113679,0.0
Query + all recalls,official devset,0.063125,0.14885420547214837,0.17060640101162777,0.5059590830872511,0.0
Clean champion XGB,official devset,0.16625,0.29367,0.32371,0.53292,0
